,ID,Loan Amount,Funded Amount,Funded Amount Investor,Term,Batch Enrolled,Interest Rate,Grade,Sub Grade,Employment Duration,Home Ownership,Verification Status,Payment Plan,Loan Title,Debit to Income,Delinquency - two years,Inquires - six months,Open Account,Public Record,Revolving Balance,Revolving Utilities,Total Accounts,Initial List Status,Total Received Interest,Total Received Late Fee,Recoveries,Collection Recovery Fee,Collection 12 months Medical,Application Type,Last week Pay,Accounts Delinquent,Total Collection Amount,Total Current Balance,Total Revolving Credit Limit,Loan Status
0,2814126,8220,7541,16677.3103,58,BAT2252229,11.0934499,C,B3,RENT,70272.33772000001,Not Verified,n,Credit card refinancing,30.23380504,0,0,23,0,7375,8.971639553,18,f,1983.673909,0.0462708879999999,8.681568421,0.923241691,0,INDIVIDUAL,74,0,24,486498,63090,0
1,60461819,5806,10460,26921.45953,36,BAT224923,7.167188733,A,B5,RENT,53661.80037,Source Verified,n,Credit card refinancing,19.86376018,0,0,10,0,4864,50.11350887,20,f,253.2004202,1.9e-05,0.538750899,1.279297905,0,INDIVIDUAL,72,0,30,199804,35652,0
2,30315706,15244,31724,13800.306530000002,59,BAT2833642,16.12574664,D,E3,OWN,47634.53371,Source Verified,n,Credit card refinancing,16.37176459,0,0,12,0,3642,76.41361433,31,w,50.30601203,0.081158612,1.072393488,0.997230059,0,INDIVIDUAL,13,0,30,33352,4585,0
3,35094493,7684,8893,12163.79813,59,BAT1467036,12.62748268,E,C1,RENT,81618.37632000001,Source Verified,n,Debt consolidation,25.03786168,0,0,6,0,10412,61.03126116,10,f,168.3802622,0.103389433,6.759186323,0.903630435,0,INDIVIDUAL,92,0,28,30568,7749,0
4,2803253,13333,8238,5709.237854,59,BAT4271519,13.34546105,A,C3,RENT,73289.12407,Source Verified,n,Credit card refinancing,17.8257878,1,0,14,0,5940,11.94034063,14,w,639.0678367,0.009711187,4.335110176000001,0.7844382540000001,0,INDIVIDUAL,4,0,30,292225,27098,0
5,2592773,20210,9440,30212.50879,59,BAT2252229,16.46458556,B,B4,MORTGAGE,43023.60022,Source Verified,n,Debt consolidation,25.83265795,0,0,22,0,21318,43.39123975,16,w,4789.109951,0.0461305979999999,7.396452372000001,0.997432428,0,INDIVIDUAL,42,0,47,21983,44946,0
6,58275428,9902,16646,14175.25797,59,BAT1930365,15.98792136,C,B5,RENT,69586.10513,Source Verified,n,Debt consolidation,27.65378189,0,0,8,0,17093,17.88808854,17,w,1597.450942,0.018281899,5.901126176,0.65970625,0,INDIVIDUAL,90,0,30,233190,24905,0
7,11794523,22025,7378,9776.54686,59,BAT2575549,6.823817506,B,F2,RENT,80968.01284,Verified,n,Credit card refinancing,19.77537636,0,0,15,0,13766,58.58329516,18,f,3578.821996,0.105953053,5.088088273,0.728600997,0,INDIVIDUAL,77,0,12,177858,19387,0
8,38600807,15577,13326,14754.5558,59,BAT1780517,5.677587322000001,A,D1,MORTGAGE,69965.62647,Not Verified,n,Debt consolidation,29.76175571,0,0,10,0,24591,69.60509178,26,w,1673.553239,0.000937937,1.748951746,0.231836983,0,INDIVIDUAL,95,0,44,81694,2316,0
9,2073767,9194,10977,11618.20225,59,BAT2078974,11.5835461,A,B2,RENT,89459.57403999999,Not Verified,n,Credit card refinancing,22.02423417,1,0,34,0,222,47.22590236,25,w,1316.600515,0.045306492,3.67002402,0.025301077,0,INDIVIDUAL,11,0,25,291238,62929,0
10,5177519,15036,9043,12945.67095,36,BAT2252229,13.35527086,B,A3,MORTGAGE,59701.07682,Source Verified,n,Credit card refinancing,20.19556378,6,0,13,0,12925,53.79768848,18,w,9059.856611,0.0045228329999999,3.449373037,1.186915233,0,INDIVIDUAL,93,0,53,49112,14513,1
11,2029883,6582,6711,16176.77068,59,BAT1586599,6.795062733,C,C4,RENT,71577.88647,Not Verified,n,Debt consolidation,24.6186384,0,0,15,0,5656,16.62259991,22,w,3963.58597,0.040665949,0.544174791,0.722695803,0,INDIVIDUAL,17,0,3,47788,4564,1
12,14901444,26107,13685,8846.709129,58,BAT1930365,13.68951271,B,D4,MORTGAGE,56712.4535,Not Verified,n,Debt consolidation,21.05774599,0,1,9,0,12473,72.22793368,15,f,560.6878339,0.001263121,1.323236987,0.8286597920000001,0,INDIVIDUAL,45,0,423,291564,45448,0
13,1863681,4917,10817,12055.09472,59,BAT2575549,8.185245738999999,D,D1,MORTGAGE,70405.12035,Not Verified,n,Credit card refinancing,31.67250646,0,0,8,0,1620,5.795583097000001,19,f,220.9332152,0.050485329,5.969849274,0.477934151,0,INDIVIDUAL,28,0,641,52158,30244,0
14,33786729,23872,7636,32930.57546,58,BAT1586599,18.24031997,A,A1,MORTGAGE,105950.8059,Not Verified,n,Credit card refinancing,13.74311916,0,0,13,0,4090,39.68197703,24,f,10500.42674,0.069122868,0.611664239,1.030985589,0,INDIVIDUAL,65,0,30,294538,7337,0
15,61124691,14817,26379,14968.38269,58,BAT2428731,13.01773145,A,B3,RENT,91247.52194,Source Verified,n,Credit card refinancing,16.84337094,0,0,10,0,3906,64.28101506,9,w,1452.303046,0.047268133,2.635790257,1.077466423,0,INDIVIDUAL,58,0,39,212913,13013,0
16,5519653,34862,10783,21588.57175,59,BAT5629144,14.97524431,B,A3,OWN,74336.1943,Not Verified,n,Credit card refinancing,12.84188656,7,1,20,0,9896,44.39831732,28,w,2599.013205,0.079706032,9.21558472,1.207506897,0,INDIVIDUAL,25,0,44,276854,69204,0
17,15024528,10890,8788,11573.67266,58,BAT4694572,5.404513102999999,F,C1,RENT,84733.86359,Not Verified,n,Credit card refinancing,37.31693768,0,0,16,0,4535,39.44163295,4,f,122.5600399,0.135552123,4.664207475,0.300238173,0,INDIVIDUAL,112,0,47,264717,37712,0
18,5169984,6473,7263,22286.86725,59,BAT4351734,13.75878467,D,A4,MORTGAGE,71615.00838,Not Verified,n,Debt consolidation,18.14267352,0,0,12,0,3151,59.04230535,28,f,216.8043391,0.064374472,8.197786282000001,0.479544205,0,INDIVIDUAL,122,0,53,96936,19350,1
19,1746212,29001,9157,10176.35296,59,BAT4271519,11.43481323,B,B4,MORTGAGE,63936.41465,Source Verified,n,Credit card refinancing,23.36017676,0,0,29,0,1565,85.33127725,29,f,3040.169522,0.1063988219999999,1.255152207,1.5533749369999998,0,INDIVIDUAL,153,0,44,76489,14957,0
20,5386975,8746,21041,9497.418776,59,BAT224923,8.378218156,A,D5,RENT,63301.96327000001,Source Verified,n,Debt consolidation,29.07818549,1,0,5,1,10378,60.10203557,7,w,763.9260469,0.0134158519999999,1.264582624,0.457288045,0,INDIVIDUAL,59,0,35,92451,3853,0
21,12952952,15491,25526,17174.501959999998,59,BAT5489674,10.91531115,D,C1,RENT,44071.24045,Source Verified,n,Credit card refinancing,39.39689619,0,0,9,0,5763,68.98065329,19,w,233.7772849,0.06315861,5.419391219,1.123789911,0,INDIVIDUAL,57,0,60,92556,26260,0
22,60752790,21725,16647,17137.358630000002,59,BAT2428731,10.3648746,D,B1,MORTGAGE,56758.92201,Source Verified,n,Debt consolidation,15.004674800000002,0,0,14,0,4657,66.40318,9,w,876.3362183,0.020326132,6.652590561,0.391200825,0,INDIVIDUAL,22,0,25,34651,42268,0
